,text
0,"['운영체제', '원리', '개념', '이해', '운영체제', '제공', '서비스', '이해', '운영체제', '설계', '구현', '이슈']"
1,"['사이버피지컬시스템', '연구실', '연구', '철학', '방향', '이해', '컴퓨터시스템', '성능', '개선', '컴퓨팅', '신뢰', '제고', '프로제스스케줄링', '기술', '입출력', '최적화', '파일시스템', '스토리지', '결함허용기법', '이해', '소정', '인턴비', '지급']"
2,"['데이터베이스', '응용', '빅데이터', '데이터사이언스', '이론', '다양', '실제', '빅데이터', '다양', '속성', '특징', '효과', '분석', '방법', '학생', '빅데이터', '생성', '특징', '분석', '유의', '빅데이터', '분석', '필요', '확률', '통계', '수학', '이론', '학생', '빅데이터', '수집', '분석', '시각', '능력', '배양', '파이썬', '프로그래밍', '스킬', '데이터사이언스', '필요', '데이터', '수집', '전처리', '분석', '시각화', '방법', '습득', '데이터사이언스', '필요', '코딩', '기술', '습득']"
3,"['진로탐색', '세미나', '진행', '취업', '산업체', '인사', '특강', '창업', '산학', '중점', '교수', '진학', '전공교수', '연구', '분야', '소개', '컴퓨터', '분야', '다양', '진로', '탐색', '상담', '시간', '학생', '진로선택', '도움']"
4,"['사이버피지컬시스템', '연구실', '연구', '철학', '방향', '이해', '컴퓨터시스템', '성능', '개선', '컴퓨팅', '신뢰', '제고', '프로제스스케줄링', '기술', '입출력', '최적화', '파일시스템', '스토리지', '결함허용기법', '이해', '소정', '인턴비', '지급']"
5,"['공학인증종합설계', '컴퓨터', '캡스톤디자인', '연장', '지도', '교수', '정기', '미팅', '설계', '방법', '작품', '구현', '내용', '추가', '최근', '기술', '동향', '파악', '세미나', '참석', '요구', '참석', '여부', '최종', '목적', '단위', '소프트웨어개발', '프로젝트', '상품화수준', '소프트웨어개발', '소프트웨어', '품질보장방법', '소프트웨어', '품질', '보장', '소프트웨어개발', '산출물', '요구사항분석', '설계문서', '구현', '노트', '검증방법', '소프트웨어', '소스', '코드', '디버깅', '테스트', '검증방법', '소프트웨어개발', '산출물', '효율', '유지보수방법', '습득', '컴퓨터공학', '학생', '산업체', '요구', '능력', '배양', '학부', '이론', '바탕', '공동', '작품', '설계', '해결', '기법', '함양']"
6,"['인터넷', '내부', '동작', '이해', '초점', '인터넷', '컴퓨터네트워크프로토콜', '응용계층', '시작', '링크', '계층', 'Top-down방식', '소개', '바탕', '인터넷', '프로토콜', '실제', '구현', '프로그램', '작성', '컴퓨터네트워크프로토콜', '응용계층', '시작', '네트워크계층', 'Top-down방식', '바탕', '차세대인터넷프로토콜', '멀티미디어통신프로토콜', '프로그램', '작성', '프로토콜', '동작']"
7,"['기반', '창업', '기업가정신', '창업', '필요', '개념', '숙지', '아이디어', '수집', '비즈니스모델', '예상', '구현모델', '과정', '이해', '제품', '서비스', '구현', '실제', '창업', '경험', '체득', '세부', '내용', '창업프로세스', '창업', '구성', '아이디어', '개발', '시장', '기술', '조사', '비즈니스모델', '설계', '사업계획서', '작성', '제품', '서비스', '개발', '기반', '창업', '준비', '창업', '역량', '창업', '캡스톤디자인', '창업', '캡스톤디자인', '계획', '동일', '통합', '구성', '예정', '창업', '이론', '프로젝트', '실습', '중심', '진행', '창업', '동아리', '타과', '학생', '이론', '동영상', '진행', '프로젝트', '실습', '지정', '멘토', '자율', '진행', '방법', '수강', '멘토링', '팀프로젝트', '중간발표', '기말', '발표', '동영상', '창업아이디어']"
8,"['소프트웨어학부', '심화', '문제', '해결', '산업현장', '개발', '프로젝트', '주제', '지정', '소프트웨어개발', '프로세스', '단계', '문제', '도출', '파악', '조사', '분석', '해결', '절차', '소프트웨어공학', '이론', '지식', '습득', '물론', '토론', '발표', '진행', '학생', '습득', '지식', '공유', '검토', '토론', '지식', '실질', '적용', '실습', '추가', '소프트웨어개발', '프로젝트', '단위', '진행', '개발', '단계', '요구', '요구사항', '명세서', '설계문서', '테스트', '디자인', '산출물', '개발', '마지막', '프로젝트', '총괄', '발표', '진행', '산업현장', '문제', '환경', '고려', '실질', '프로젝트', '기반', '소프트웨어', '시스템', '개발', '학술', '이론', '이해', '현실', '능력', '효과', '배양', '신뢰', '소프트웨어', '효율', '효과', '개발', '기법', '소프트웨어', '개발', '조직', '분석', '설계', '구현', '문서', '테스트', '측면', '다양', '기법', '습득', '습득', '소프트웨어개발', '기법', '적용', '사례', '기법', '기반', '개발', '도구', '사회', '거리', '두기', '단계', '기준', '대면', '병행', '아래', '운영', '이론', '동영상', '금요일', '이론', '동영상', '업로드', '문제', '해결', '활동', '실습', '차질', '진행', '문제', '해결', '활동', '실습수업', '금요일', '점심', '시간', '제외', '참고', '사회', '거리', '두기', '단계', '단계', '격상', '전면', '원격수업', '전환', '사회', '거리', '두기', '단계', '단계', '지속', '유지', '전면', '원격수업', '전환', '마찬가지', '종식', '전면', '대면', '전환', '사회', '거리', '두기', '단계', '운영', '방식', '변경', '가능']"
9,"['시스템프로그래머', '수준', '프로그래밍', '기술', '습득', '리눅스운영체제', '기능', '설계', '개념', '이해', '필요', '시스템', '프로그래밍', '리눅스커널', '제공', '시스템함수', '수준', '프로그램', '제작', '의미', '리눅스운영체제', '개념', '시스템함수', '세부', '동작', '시스템', '프로그래밍', '기초', '언어', '프로그래밍', '능력', '필요', '리눅스운영체제', '기능', '설계', '개념', '시작', '리눅스커널', '제공', '시스템함수', '세부', '동작', '방법', '파일', '시스템함수', '프로세스', '시스템함수', '시그널', '프로세스', '통신', '스레드', '순차', '진행', '방식', '변경', '이론', '원격수업', '진행', '중간고사', '시험', '단원', '진행', '중간고사', '대면시험', '교내', '진행', '수강', '학생', '커널', '제공', '시스템함수', '이용', '파일', '프로세스', '프로세스', '성생', '실행', '종료', '변화', '과정', '시스템함수', '시그널', '연관', '설명', '시그널', '파이프', '메시지', '세마포', '공유', '메모리', '이용', '프로세스', '통신']"
10,"['임베디드시스템', '구성', '임베디드플랫폼', '기반', '임베디드시스템', '적용', '임베디드운영체제', '과정', '운영체제', '펌웨어', '자동차', '비행기', '적용', '실시간운영체제', '스마트폰', '우리', '주변', '다양', '분야', '적용', '임베디드', '리눅스', '디바이스', '제어', '디바이스드라이버', '연동', '과정', '진행', '계획', '임베디드시스템', '설계', '구현', '임베디드플랫폼', '구성', '요소', '분석', '토대', '임베디드시스템', '제어', '소프트웨어', '펌웨어', '실시간운영체제', '임베디드', '범용', '운영', '체제', '차이점', '실제', '코드', '예제', '이해', '운영체제', '동작', '원리', '이론', '이론', '실제', '하드웨어', '연동구조', '분석', '파악', '운영체제', '기반', '디바이스', '제어', '디바이스드라이버']"
11,"['과정', '컴퓨터', '시스템', '다양', '보안', '취약점', '설명', '학생', '공격', '기법', '세부', '사항', '연구', '방어', '방법', '항목', '프로그램', '공격', '버퍼', '오버플로', '공격', '포맷', '문자열', '취약', '레이스', '상태', '취약', '멜트다운', '공격', '스펙터클', '공격', '공격', '학생', '작동', '방식', '가상', '머신', '환경', '공격', '시도', '공격', '주제', '변경', '학생', '실습', '녹음', '라이브', '실습', '세션', '녹화강의', '실시간', '실습']"
12,"['모바일기기', '보급', '모바일컴퓨팅', '애플리케이션', '필수요소', '자리', '모바일', '플랫폼', '시스템', '개발', '필요', '기술', '지식', '이해', '필요', '학생', '인터넷프로토콜', '모바일시스템']"
13,[]
14,"['멀티미디어정보처리', '영상정보처리', '개념', '이해', '하드웨어', '소프트웨어', '기술', '습득', '이론', '알고리즘', '체계', '이해', '구현', '능력', '배양', '멀티미디어', '개념', '영상', '비디오', '영상인식', '시각지능', '머신러닝', '최근', '이슈', '딥러닝', '기반', '영상', '인식', '중점', '실습', '실시간', '화상', '진행', '원칙', '진행', '진행']"
15,"['컴퓨터공학', '프로그램', '작성', '필요', '컴퓨터', '언어', '소프트웨어', '도구', '최적', '컴퓨터구조', '이해', '컴퓨터구조', '명령어', '세트', '레지스터', '기능블록', '구성', '내부', '구조', '메모리', '버스', '구성', '시스템', '구조', '포괄', '컴퓨터', '구성', '메모리', '입출력장치', '제어부', '처리속도', '메모리', '크기', '버스구조', '코아', '개수', '전력소모', '컴퓨터구조', '성능', '척도', '명령어', '세트', '레지스터', '기능', '블럭', '내부', '구조', '이해', '메모리구조', '이해', '보조', '기억', '장치', '컴퓨터', '장치', '이해', '컴퓨터', '제어부', '버스', '파이프라인', '구조', '이해', '컴퓨터성능', '분석']"
16,"['프로그래밍언어', '공통', '원리', '현재', '프로그래밍', '언어', '얼마', '필요', '무엇', '프로그래밍환경', '효과', '운용', '언어', '무엇', '질문', '필요', '소양', '언어', '실행기', '설계', '구현', '개념', '이해', '기초', '귀납적정의', '함수형언어', '언어', '생김새', '의미', '환경', '실행기', '상태', '함수', '호출', '심화', '타입', '추론', '안전', '완전', '형성', '모듈', '쓰레기', '강좌', '함수형언어', '하나']"
17,"['컴퓨터', '소프트웨어', '산업디자인', '설계', '생산', '활용', '파악', '이로', '기초', '지식', '프로그램', '형상', '모델링', '산업디자인', '엔지니어링', '3D설계', '프로그램', '활용', '이론', '실습', '진행', '실제', '기업', '디자인', '시스템', '활용', '능력', '배양']"
18,"['현실', '공감각', '소환', '가상현실', '가상공간', '디자인', '사용자인터페이스', 'UI설계', '기기', '연계', '운영체제', '구축', '가지', '구분', '가지', '상공', '인터페이스', '디자인', '요소', '개념', '특성', '가상', '공간', '영상', '컴퓨터', '그래픽', '영상', '장비', '제작', '기기', '연결', '증강', '정보', '체험', '콘텐츠', '제작', '교육', '의의', '제작', '입체', '영상물', '체험', '수동', '제작', '실제', '인터페이스', '디자인', '피드백', '공유', '사용자인터페이스', 'UI설계', '사항', '연구', '증강현실', '혼합현실', '개념', '유니티', '증강현실', '혼합현실', '콘텐츠', '개발', '연관', 'UI설계', '실용', '겸비', '콘텐츠기획', '개발']"
19,"['미래', '예측', '최선', '방법', '영역', '기술', '융합', '세기', '성장동력', '다종다양', '분야', '상상력', '창조', '원동력', '지식', '기술', '산업', '지도', '기술', '발전', '통사', '단계', '세기', '중반', '단계', '인간', '물질', '기계', '연구', '개발', '강조', '기술', '기계', '중심', '시대', '세기', '중반', '이후', '시작', '단계', '정보', '생명', '가치', '강조', '기술', '정보', '생명', '중심', '과학', '기술', '단계', '세기', '과학', '기술', '기술', '생명', '정보', '감성', '인간', '중심', '융합', '기술', '체제', '논리', '융합', '정도', '단계', '기술', '융합', '융합1.0', '기술', '문화', '디지털', '아날로그', '융합', '방향', '융합2.0', '첨단', '기술', '적용', '융합1.0', '산물', '아날로그', '인터페이스', '설계', '가미', '애플', '제품', '인간', '실제', '동작', '가미', '닌텐도', '인간', '외로움', '사이버', '공간', '해소', '페이스북', '융합2.0', '결과물', '융합3.0', '궁극', '의미', '융합', '인간', '기술', '경계', '상태', '의미', '융합3.0', '인간', '기술', '자연', '상호', '작용', '휴먼', '가치', '제안', '학제', '관점', '이해', '이질', '학문', '영역', '상호', '이해', '협력', '능력', '통합', '사고', '분석', '능력', '학제', '사고', '현상', '분석', '통합', '작업', '능력', '미래', '예측', '능력', '이론', '기술', '복합', '이해', '미래', '방향', '예측', '능력', '성찰', '능력', '융합', '관점', '중심', '개인', '사회', '환경', '문화', '고차', '성찰', '능력']"
20,"['디자인마케팅', '컨설팅', '디자인마케팅', '본질', '이해', '디자인마케팅', '실무', '적용', '단계', '디자인마케팅', '규명', '영역', '다양', '체계', '학문', '내용', '현대', '기업', '과거', '이성', '중심', '소비자', '대상', '중심', '마케팅전략', '감성', '중심', '소비자', '대상', '기업', '브랜드', '인지', '중심', '감성', '마케팅전략', '전환', '이성', '중심', '마케팅전략', '감성', '중심', '디자인', '전략', '결합', '하나', '통합', '프로세스', '소비자', '접근', '감성', '마케팅', '중요', '증대', '디자인', '컨설팅', '디자인', '제품', '조형', '요소', '인터페이스', '이미지', '문화', '라이프', '스타일', '트렌드', '업무', '동시', '마케팅', '경영', '기술', '측면', '포괄', '내용', '디자인마케팅', '컨설팅', '고객', '라이프', '스타일', '다양', '세분', '시장', '고객', '니즈', '욕구', '라이프', '스타일', '이해', '최적', '마케팅', '기법', '활용', '방법', '습득', '목적', '디자인마케팅', '컨설팅', '브랜드', '중심', '비즈니스', '의미', '이해', '디자인마케팅', '컨설팅', '마케팅', '빅데이터', '마케팅', '뉴로', '마케팅', '최근', '주목', '기술', '마케팅', '기법', '컨설팅', '이해']"
21,"['실감형콘텐츠', '입감', '상호', '작용', '지능화', '특징', '현실', '경험', '제공', '콘텐츠', '가상현실', '증강현실', '혼합현실', '그램', '시대', '핵심', '서비스', '등장', '실감형콘텐츠', '4차산업혁명', '시발점', '전망', '실감', '콘텐츠', '혁신', '성장', '실현', '핵심산업', '선정', '만큼', '킬러', '콘텐츠', '부각', '스마트실감형어플리케이션', '동향', '이해', '기술', '습득', '필수', '디자이너', '측면', '어플리케이션', '개발', '필요', '기술', '프로젝트', '업무', '프로세스', '이해', '융합', '역량', '향상', '스마트실감형어플리케이션', '개발', '기술', '습득', '개인', '프로젝트', '응용', '발전']"
22,"['전자회로', '이론', '이해', '가변성', '디자인재료', '센서', '액츄에이터', '컨트롤', '방식', '습득', '기반', '환경', '사용자', '사물', '인터렉션', '구조', '설계', '제품', '환경', '적용', '목적', '실시간', '상강', '병행', '예정']"
23,"['HCI(인간-컴퓨터상호작용)', '융합학문', '인간', '인터렉티브', '컴퓨터', '시스템', '디자인', '구현', '과정', '주요', '현상', '연구', '학문', 'HCI(인간-컴퓨터상호작용)', '유저인터페이스', '설계', '필요', '지식', '인지', '사회', '감성', '인간학', '작업', '도구', '문화', '조직', '사회', '타인', '이해', '다양', 'HCI(인간-컴퓨터상호작용)', '연관', '학문', '컴퓨터공학', '인지심리학', '인간공학', '인공지능', '언어학', '철학', '사회학', '인류학', '디자인', '기계공학', '다양', 'HCI(인간-컴퓨터상호작용)', '기초', '응용', '지식', '습득', 'HCI(인간-컴퓨터상호작용)', '다양', '응용사례', '프로젝트', 'HCI(인간-컴퓨터상호작용)', '기반', '제품', '개발', '과정', '경험', '기회', '제공', 'HCI(인간-컴퓨터상호작용)', '기초', '응용', '지식', '습득', 'HCI(인간-컴퓨터상호작용)', '다양', '응용사례', '프로젝트', 'HCI(인간-컴퓨터상호작용)', '바탕', '제품', '개발', '과정', '이해']"
24,"['Unity게임엔진환경', '프로그래밍언어', '2D게임', '개발', '학생', '변수', '메서드', '컬렉션', '논리', '루프', '패턴', '언어', '사항', '객체지향프로그래밍', '핵심', '개념', '언어', '문법', '사용법', '게임']"
25,"['디지털헬스케어', '서비스', '필요', '대두', '이슈', '분야', '디지털헬스케어', '기초', '지식', '배양', '최신', '트렌드', '팀프로젝트', '실용', '디지털헬스케어', '아이디어', '융합', '사고', '배양', '디지털헬스케어', '개념', '최신', '트렌드', '최신', '트렌드', '기반', '아이디어', '도출', '융합', '사고', '목적']"
26,"['실시간', '진행', '공연예술', '전시', '이벤트', '관객', '컨텐츠', '조우', '독특', '형식', '공연예술', '분야', '관객', '중요', '제작', '요소', '무대공간', '구조', '예술', '의미', '예술', '이해', '공연', '예술', '특징', '구성', '필요', '인문학', '기술', '제반', '요소', '차세대', '다중', '예술', '분야', '핵심', '위치', '차지', '예측', '공연', '산업', '필수', '기술', '요소', '계획', '디자인', '역량', '공연예술', '정의', '배경', '이해', '공연예술', '구성', '예술요소', '공간', '요소', '기술요소', '사회적환경요소', '이해', '문화', '예술', '창조자', '향수', '예술', '유대', '교감', '공연예술', '에너지', '가치', '이해', '차세대', '미디어', '공연', '아이디어', '디자인', '역량', '연결', '기회']"
27,"['전자회로', '이론', '이해', '가변성', '디자인재료', '센서', '액츄에이터', '컨트롤', '방식', '습득', '기반', '환경', '사용자', '사물', '인터렉션', '구조', '설계', '제품', '환경', '적용', '목적', '실시간', '상강', '병행', '예정']"
28,"['웹애플리케이션', '전반', '제작', '과정', '필요', '지식', '반응형웹애플리케이션', '이해', '싱글', '페이지', '웹애플리케이션', '제작', '부트스트랩', '기능', '이용', '기존', '사이트', '부트스트랩', '활용', '코딩']"
29,"['대학원', 'HCI(인간-컴퓨터상호작용)', '학과', '관심', '학생', '대상', 'Interaction&Experience랩', '연구', '실습', '연구실', '실습', '때문', '강사', '사전', '연구', '주제', '상담', '강사', '허락', '수강', '신청', '문헌', '검토', '요인', '실험', '데이터', '분석', '보고서', '생성', '주간', '보고서', '최종', '보고서']"
30,"['HCI(인간-컴퓨터상호작용)', '융합학문', '인간', '인터렉티브', '컴퓨터', '시스템', '디자인', '구현', '과정', '주요', '현상', '연구', '학문', 'HCI(인간-컴퓨터상호작용)', '유저인터페이스', '설계', '필요', '지식', '인지', '사회', '감성', '인간학', '작업', '도구', '문화', '조직', '사회', '타인', '이해', '다양', 'HCI(인간-컴퓨터상호작용)', '연관', '학문', '컴퓨터공학', '인지심리학', '인간공학', '인공지능', '언어학', '철학', '사회학', '인류학', '디자인', '기계공학', '다양', 'HCI(인간-컴퓨터상호작용)', '기초', '응용', '지식', '습득', 'HCI(인간-컴퓨터상호작용)', '다양', '응용사례', '프로젝트', 'HCI(인간-컴퓨터상호작용)', '기반', '제품', '개발', '과정', '경험', '기회', '제공', 'HCI(인간-컴퓨터상호작용)', '기초', '응용', '지식', '습득', 'HCI(인간-컴퓨터상호작용)', '다양', '응용사례', '프로젝트', 'HCI(인간-컴퓨터상호작용)', '바탕', '제품', '개발', '과정', '이해']"
31,"['디지털미디어콘텐츠', '기획', '강좌', '미디어콘텐츠', '이해', '영상', '콘텐츠', '기획', '창작', '실행', '과정', '과정', '미디어콘텐츠', '영역', '웹툰', '역할', '스토리텔링', '기획', '이미지', '텔링', '제작', '프로그램', '미디어콘텐츠', '기획', '스토리텔링', '과정', '콘텐츠기획', '이론', '실제', '진행', '추후', '대면', '필요', '예정']"
32,"['기계', '방법', '기계', '기계', '과업', '데이', '경험', '데이터', '의미', '정보', '지식', '자동', '추출', '기계학습', '핵심', '질문', '기계학습', '개념', '방법', '알고리즘', '본교', '학생', '확률론', '통계학', '선형대수학', '핵심', '지식', '습득', '분류', '예측', '군집', '기계', '방법', '원리', '이해', '기계학습', '문제', '프로그래밍', '실습', '구현', '능력', '개발', '영상', '월요일', '질의', '응답', '중심', '실시간', '금요일', '진행', '석사', '공통', '학부', '상대', '대학원', '상대', '적용', '부여']"
33,"['최근', '디지털콘텐츠', '발전', '데이터', '증가', '정보', '증가', '정보', '차트', '지도', '다이어그램', '흐름', '표현', '정보', '전달', '중요', '역할', '데이터', '인포그래픽', '정보', '편리', '이론', '실습', '정보', '이해', '해석', '부분', '중점', '진행', '데이터', '이해', '정보', '이해', '바탕', '정보', '그래픽', '표현', '정보', '습득', '시간', '단축', '기억', '지속력', '과거로', '인포그래픽', '현재', '발전', '비주얼', '콘텐츠', '지식', '전달', '그래픽', '표현', '목적', '정보', '이해', '분류', '표현', '부분', '중점', '이론', '실습', '미디어', '인포', '그래픽스', '진행']"
34,"['콘텐츠', '기반', '디지털마케팅', '이해', '디지털', '디지털콘텐츠', '방향', '파악', '인터넷', '디지털마케팅', '콘텐츠', '이해', '디지털콘텐츠', '과정', '콘텐츠', '디지털마케팅', '실행', '비지니스', '이해', '이론', '동영상', '실습', '대면', '원칙', '하나', '가능', '실습', '진행']"
35,"['소셜미디어', '포괄', '개념', '일환', '소셜미디어', '성격', '범위', '종류', '이해력', '소셜미디어', '저널', '역할', '대표', '소셜미디어', '사례', '속성', '컨셉', '이해', '동시', '마케팅', '도구', '역할', '일반', '소셜미디어', '검색분석', '소셜데이터', '중요', '사고력', '일반', '광고', '패인', '글로벌트렌드', '중심', '포괄', '진행', '대면', '병행', '학생', '안전', '기반', '블랙보드', '실시간', '화상', '진행', '학생', '비디오', '오디오', '오픈', '실습', '학생', '개인', '역량', '과제', '학생', '자율', '의견', '사고력']"
36,"['대학원', 'HCI(인간-컴퓨터상호작용)', '학과', '관심', '학생', '대상', 'Interaction&Experience랩', '연구', '실습', '연구실', '실습', '때문', '강사', '사전', '연구', '주제', '상담', '강사', '허락', '수강', '신청', '문헌', '검토', '요인', '실험', '데이터', '분석', '보고서', '생성', '주간', '보고서', '최종', '보고서']"
37,"['공학도', '기업가정신', '창업', '컴퓨터', '비즈니스', '이해', '창업', '필요', '경영', '지식', '함양', '창업', '필요', '개념', '숙지', '아이디어', '수집', '비즈니스모델', '예상', '구현모델', '과정', '이해', '제품', '서비스', '구현', '실제', '창업', '경험', '체득', '토로', '세부', '내용', '창업프로세스', '창업', '구성', '아이디어', '개발', '선행기술조사', '아이디어', '구체', '시장', '경쟁사', '분석', '비즈니스모델', '설계', '사업계획서', '작성', '제품', '개발', '기반', '창업', '준비', '창업', '역량', '함양', '창업', '이론', '프로젝트', '실습', '중심', '운영', '창업', '동아리', '타과', '학생', '창업', '캡스톤디자인', '창업', '캡스톤디자인', '학제간', '교류', '필요', '통합', '구성', '예정', '프로젝트', '실습', '멘토', '자율', '진행']"
38,"['ICT융합', '학부', '학생', '산업체', '제시', '과제', '기술', '적용', '융합', '기법', '실무', '미래유망산업', '필수', 'ICT융합', '능력', '배양', '목적', '단위', 'ICT융합', '프로젝트', '기반', '융합', '기법', 'ICT융합', '프로젝트', '필요', '발표력', '팀웍', '의사소통', '능력', '습득', 'ICT융합', '필요', '실무', '기술', '주기', '기업체', '멘토', '진행', '현황', '논의', '완성', 'ICT융합', '학부', '학생', '산업체', '요구', '능력', '배양', '학부', '이론', '바탕', '공동', '작품', '설계', '해결', '기법']"
39,"['리빙랩', '현장', '중심', '실험', '실증방법', '최근', '학계', '산업', '현장', '각광', '학생', '리빙랩', '정의', '개념', '이해', '방법론', '실제', '리빙랩', '사례', '현장', '경험', '리빙랩', '이론', '실제', '경험', '수학', '4차산업혁명', '패러다임', '전환기', '리빙랩', '실천', '방법', '주목', '시점', '중심', '플랫폼', '이해', '과학', '기술', '패러다임', '이해', '중심', '문제', '발견', '해결', '사고', '능력', '함양', '대면', '학교', '방침', '강의', '중심', '진행']"
40,"['대학원', 'HCI(인간-컴퓨터상호작용)', '학과', '관심', '학생', '대상', 'Interaction&Experience랩', '연구', '실습', '연구실', '실습', '때문', '강사', '사전', '연구', '주제', '상담', '강사', '허락', '수강', '신청', '문헌', '검토', '요인', '실험', '데이터', '분석', '보고서', '생성', '주간', '보고서', '최종', '보고서']"
